run_id,stratum,task_id,cell_id,repetition_id,action_raw,strict_apply_success,action_harmonized,reconciliation_status,reconciliation_reason,source_artifact_path,source_artifact_hash
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3::rep1,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3,1,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://59090b2437d94fb9194a80dfe81c40864010b498e8056900da5259652887d961,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3::rep2,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3,2,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://e13f6f07a91d9a31fae7793fd8ba0f4a625a7a99ddd44c8fd6769fade6a2e905,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3::rep3,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3,3,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://aeaaaddfb2baae619c52827e5a1254436dc8507501b6908d275493acc7c70e0c,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3::rep4,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3,4,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://529075a2a4c38a28f28ede913d42b855ddd8f11fef2f6f5e4ad98f87472e6ac4,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3::rep7,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::single_shot_v3,7,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://fd72f6c48322db50dfe694227992f14034e8657651c37d12fdd8cda3209792b4,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep0,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,0,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://544a12d9874d795e0ff17aea3f1cc960f0a3d34c74ca2b8478fa3bb1da946505,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep1,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,1,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://05ab375d3e285101c492152805b38dcfe457e60db1755743b007efd1eccb2e26,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep2,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,2,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://e842db7b2fb6ac33e08987a689f64275ca7e429ac49ee8544a2721da3a312332,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep3,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,3,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://aed476dd042facff0dca293fb114ebce58eb858f19cd6b75a970c03e7f3c79a8,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep4,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,4,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://d2d7e1ab4ae70861b789f46d9fa63c9d53a7cecb1e9316fe686e3dec39664c7a,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep6,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,6,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://eb67992549038103928bd3f9974e2eb598f32c5e6ab9196a4c317df8eed46ec1,NA
glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4::rep7,glm_supplementary,fal-1.3.0-roadmap,glm_supplementary::glm-5.2::fal-1.3.0-roadmap::staged_v4,7,1,1,0,reconciled_construct_but_source_unresolved,"Historical action=true conflicts with explicit patch_apply_check_ok=false; raw row package is unavailable, so the disagreement mechanism cannot be proven.",retained-evidence://c128c821fe554cd1db0ce248be8c22edd0e6fdaaad70984ebdc63548a773afdc,NA
