stratum,cell_id,task_id,task_family,model_route,protocol_arm,n_repetitions,n_action_raw,n_action_harmonized,n_pass
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,dsl-2.1.0-roadmap,dsl,deepseek-v4-flash,single_shot_v3,8,4,4,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,dsl-2.1.0-roadmap,dsl,deepseek-v4-flash,staged_v4,8,4,4,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::single_shot_v3,dsl-2.2.0-roadmap,dsl,deepseek-v4-flash,single_shot_v3,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.2.0-roadmap::staged_v4,dsl-2.2.0-roadmap,dsl,deepseek-v4-flash,staged_v4,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::single_shot_v3,dsl-2.3.0-roadmap,dsl,deepseek-v4-flash,single_shot_v3,8,3,3,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::dsl-2.3.0-roadmap::staged_v4,dsl-2.3.0-roadmap,dsl,deepseek-v4-flash,staged_v4,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::single_shot_v3,fal-1.3.0-roadmap,fal,deepseek-v4-flash,single_shot_v3,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-1.3.0-roadmap::staged_v4,fal-1.3.0-roadmap,fal,deepseek-v4-flash,staged_v4,8,1,1,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::single_shot_v3,fal-2.0.0-roadmap,fal,deepseek-v4-flash,single_shot_v3,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-2.0.0-roadmap::staged_v4,fal-2.0.0-roadmap,fal,deepseek-v4-flash,staged_v4,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-4.1.0-roadmap::single_shot_v3,fal-4.1.0-roadmap,fal,deepseek-v4-flash,single_shot_v3,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fal-4.1.0-roadmap::staged_v4,fal-4.1.0-roadmap,fal,deepseek-v4-flash,staged_v4,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fbr-2.42.0-roadmap::single_shot_v3,fbr-2.42.0-roadmap,fbr,deepseek-v4-flash,single_shot_v3,8,0,0,0
deepseek_clean,deepseek_clean::deepseek-v4-flash::fbr-2.42.0-roadmap::staged_v4,fbr-2.42.0-roadmap,fbr,deepseek-v4-flash,staged_v4,8,0,0,0
