pool,model,arm,excluded_family,rows,action_count,pass_count,action_rate,pass_rate,pass_with_action_count,action_to_pass
deepseek_clean,deepseek-v4-flash,single_shot_v3,dsl,216,44,4,0.2037037037037037,0.018518518518518517,4,0.09090909090909091
deepseek_clean,deepseek-v4-flash,single_shot_v3,fal,216,51,4,0.2361111111111111,0.018518518518518517,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,fbr,216,51,4,0.2361111111111111,0.018518518518518517,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,fyn,224,44,4,0.19642857142857142,0.017857142857142856,4,0.09090909090909091
deepseek_clean,deepseek-v4-flash,single_shot_v3,glz,224,50,4,0.22321428571428573,0.017857142857142856,4,0.08
deepseek_clean,deepseek-v4-flash,single_shot_v3,ktx,232,51,4,0.21982758620689655,0.017241379310344827,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,mko,216,37,4,0.1712962962962963,0.018518518518518517,4,0.10810810810810811
deepseek_clean,deepseek-v4-flash,single_shot_v3,opt,224,51,4,0.22767857142857142,0.017857142857142856,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,plr,232,51,4,0.21982758620689655,0.017241379310344827,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,prm,232,48,4,0.20689655172413793,0.017241379310344827,4,0.08333333333333333
deepseek_clean,deepseek-v4-flash,single_shot_v3,pyg,232,51,4,0.21982758620689655,0.017241379310344827,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,rat,232,51,4,0.21982758620689655,0.017241379310344827,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,spc,232,51,4,0.21982758620689655,0.017241379310344827,4,0.0784313725490196
deepseek_clean,deepseek-v4-flash,single_shot_v3,tpl,192,32,0,0.16666666666666666,0.0,0,0.0
deepseek_clean,deepseek-v4-flash,staged_v4,dsl,216,30,3,0.1388888888888889,0.013888888888888888,3,0.1
deepseek_clean,deepseek-v4-flash,staged_v4,fal,216,33,3,0.1527777777777778,0.013888888888888888,3,0.09090909090909091
deepseek_clean,deepseek-v4-flash,staged_v4,fbr,216,34,3,0.1574074074074074,0.013888888888888888,3,0.08823529411764706
deepseek_clean,deepseek-v4-flash,staged_v4,fyn,224,32,3,0.14285714285714285,0.013392857142857142,3,0.09375
deepseek_clean,deepseek-v4-flash,staged_v4,glz,224,27,3,0.12053571428571429,0.013392857142857142,3,0.1111111111111111
