stratum,task_id,pass_count,action_count,share_of_stratum_passes
deepseek_clean,dsl-2.1.0-roadmap,0,9,0.0
deepseek_clean,dsl-2.2.0-roadmap,0,0,0.0
deepseek_clean,dsl-2.3.0-roadmap,0,12,0.0
deepseek_clean,fal-1.3.0-roadmap,0,14,0.0
deepseek_clean,fal-2.0.0-roadmap,0,2,0.0
deepseek_clean,fal-4.1.0-roadmap,0,6,0.0
deepseek_clean,fbr-2.42.0-roadmap,0,0,0.0
deepseek_clean,fbr-2.43.0-roadmap,0,1,0.0
deepseek_clean,fbr-3.0.0-roadmap,0,0,0.0
deepseek_clean,fyn-2.1.0-roadmap,0,8,0.0
deepseek_clean,fyn-2.7.0-roadmap,0,21,0.0
deepseek_clean,glz-3.0.0-roadmap,0,8,0.0
deepseek_clean,glz-4.0.0-roadmap,0,3,0.0
deepseek_clean,ktx-0.10.0-roadmap,0,0,0.0
deepseek_clean,mko-3.0.0-roadmap,0,28,0.0
deepseek_clean,mko-4.0.0-roadmap,0,2,0.0
deepseek_clean,mko-4.1.0-roadmap,0,10,0.0
deepseek_clean,opt-2.0.0-roadmap,0,0,0.0
deepseek_clean,opt-3.0.0-roadmap,0,7,0.0
deepseek_clean,plr-1.0.0-roadmap,0,0,0.0
deepseek_clean,prm-5.0.0-roadmap,0,14,0.0
deepseek_clean,pyg-1.6.3-roadmap,0,1,0.0
deepseek_clean,rat-0.24.0-roadmap,0,3,0.0
deepseek_clean,spc-3.5.0-roadmap,0,0,0.0
deepseek_clean,tpl-3.0.0-roadmap,0,0,0.0
deepseek_clean,tpl-3.2.0-roadmap,13,24,0.9285714285714286
deepseek_clean,tpl-3.3.0-roadmap,1,5,0.07142857142857142
deepseek_clean,tpl-4.0.0-roadmap,0,12,0.0
deepseek_clean,tpl-5.0.0-roadmap,0,9,0.0
deepseek_clean,tpl-5.1.0-roadmap,0,0,0.0
deepseek_extension,fbr-2.27.0-roadmap,0,1,0.0
deepseek_extension,fyn-2.5.0-roadmap,0,0,0.0
deepseek_extension,glz-5.6.0-roadmap,0,2,0.0
deepseek_extension,glz-6.1.0-roadmap,0,0,0.0
deepseek_extension,glz-6.2.0-roadmap,0,5,0.0
deepseek_extension,glz-7.0.1-roadmap,0,21,0.0
deepseek_extension,ktx-0.12.0-roadmap,0,4,0.0
deepseek_extension,ktx-0.13.0-roadmap,0,0,0.0
deepseek_extension,ktx-0.15.1-roadmap,0,11,0.0
deepseek_extension,ktx-0.6.0-roadmap,0,1,0.0
deepseek_extension,ktx-0.9.0-roadmap,0,1,0.0
deepseek_extension,mko-5.0.0-roadmap,0,15,0.0
deepseek_extension,mko-6.5.0-roadmap,0,8,0.0
deepseek_extension,mko-7.0.0-roadmap,0,2,0.0
deepseek_extension,opt-4.0.0-roadmap,0,2,0.0
deepseek_extension,opt-4.4.0-roadmap,0,8,0.0
deepseek_extension,opt-4.5.0-roadmap,0,6,0.0
deepseek_extension,opt-4.6.0-roadmap,0,16,0.0
deepseek_extension,plr-1.10.0-roadmap,0,15,0.0
deepseek_extension,plr-1.22.0-roadmap,0,11,0.0
deepseek_extension,prm-5.15.0-roadmap,14,16,1.0
deepseek_extension,prm-6.16.0-roadmap,0,16,0.0
deepseek_extension,pyg-2.2.0-roadmap,0,2,0.0
deepseek_extension,pyg-2.4.0-roadmap,0,18,0.0
deepseek_extension,pyg-2.7.0-roadmap,0,3,0.0
deepseek_extension,rat-0.27.0-roadmap,0,8,0.0
deepseek_extension,ruf-0.2.0-roadmap,0,0,0.0
deepseek_extension,ruf-0.3.0-roadmap,0,5,0.0
deepseek_extension,slt-1.14.0-roadmap,0,1,0.0
deepseek_extension,spc-3.4.0-roadmap,0,6,0.0
glm_supplementary,dsl-2.1.0-roadmap,0,11,0
glm_supplementary,dsl-2.2.0-roadmap,0,2,0
glm_supplementary,dsl-2.3.0-roadmap,0,7,0
glm_supplementary,fal-1.3.0-roadmap,0,0,0
glm_supplementary,fal-2.0.0-roadmap,0,0,0
glm_supplementary,fal-4.1.0-roadmap,0,8,0
glm_supplementary,fbr-2.42.0-roadmap,0,3,0
glm_supplementary,fbr-2.43.0-roadmap,0,0,0
glm_supplementary,fbr-3.0.0-roadmap,0,0,0
glm_supplementary,fyn-2.1.0-roadmap,0,2,0
glm_supplementary,fyn-2.7.0-roadmap,0,10,0
glm_supplementary,glz-3.0.0-roadmap,0,0,0
glm_supplementary,glz-4.0.0-roadmap,0,5,0
glm_supplementary,ktx-0.10.0-roadmap,0,2,0
glm_supplementary,mko-3.0.0-roadmap,0,0,0
glm_supplementary,mko-4.0.0-roadmap,0,2,0
glm_supplementary,mko-4.1.0-roadmap,0,12,0
glm_supplementary,opt-2.0.0-roadmap,0,0,0
glm_supplementary,opt-3.0.0-roadmap,0,6,0
glm_supplementary,plr-1.0.0-roadmap,0,1,0
glm_supplementary,prm-5.0.0-roadmap,0,6,0
glm_supplementary,pyg-1.6.3-roadmap,0,2,0
glm_supplementary,rat-0.24.0-roadmap,0,1,0
glm_supplementary,spc-3.5.0-roadmap,0,1,0
glm_supplementary,tpl-3.0.0-roadmap,0,0,0
glm_supplementary,tpl-3.2.0-roadmap,0,0,0
glm_supplementary,tpl-3.3.0-roadmap,0,4,0
glm_supplementary,tpl-4.0.0-roadmap,0,1,0
glm_supplementary,tpl-5.0.0-roadmap,0,0,0
glm_supplementary,tpl-5.1.0-roadmap,0,0,0
