control_id,task_id,task_family,control_type,attempt_index,fresh_state,verifier_entered,infrastructure_failure,infrastructure_failure_type,expected_result,observed_result,replay_disagreement,exit_status,runtime_seconds,environment_identity,stdout_hash,stderr_hash,patch_control_hash,source_artifact_path
initial_pre_verifier_00,NA,NA,unavailable_pre_verifier,0,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_01,NA,NA,unavailable_pre_verifier,1,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_02,NA,NA,unavailable_pre_verifier,2,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_03,NA,NA,unavailable_pre_verifier,3,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_04,NA,NA,unavailable_pre_verifier,4,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_05,NA,NA,unavailable_pre_verifier,5,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_06,NA,NA,unavailable_pre_verifier,6,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_07,NA,NA,unavailable_pre_verifier,7,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_08,NA,NA,unavailable_pre_verifier,8,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_09,NA,NA,unavailable_pre_verifier,9,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_10,NA,NA,unavailable_pre_verifier,10,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
initial_pre_verifier_11,NA,NA,unavailable_pre_verifier,11,NA,0,1,HOST_MOUNT_PERMISSION,not applicable,pre_verifier_failure,NA,NA,NA,NA,NA,NA,NA,retained-evidence://b84c123757e1cf5daae8f31d3c7678029efd544e79c17949105bda2a0c91eed7
fal-1.3.0-roadmap::gold_positive::rep0,fal-1.3.0-roadmap,fal,gold_reference,0,1,1,0,NA,pass,pass,0,0,5.399765,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,0ddad2d6e28a1395f04d2ec1ec9ad7f4b0f311d77fd8c24d583ce2f73edbadca,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6af0d8b62298abc0ba754a9f2c0e073ef9252ebdd8317c0b53c3e8a1707ea404,retained-evidence://a6e56828bdbf09644a414fc222c90d68afa7a66ed8b4a14e8265706dd466b4cd
fal-1.3.0-roadmap::noop_negative::rep0,fal-1.3.0-roadmap,fal,no_op,0,1,1,0,NA,fail,fail,0,0,5.478687,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,91852b42d5c6a907d983bfee47c92f801207a782eb804c3eb579a637509dee22,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://ada4c43e87f441962c55eacf2ed8bd72ab5ae79a9c89cc280fc33b009738b5ed
fal-1.3.0-roadmap::gold_positive::rep1,fal-1.3.0-roadmap,fal,gold_reference,1,1,1,0,NA,pass,pass,0,0,5.50757,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,1a161fcc09028f7d302363d377acbb099a6abafaa2ec022bb1f935ba0cfd872b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6af0d8b62298abc0ba754a9f2c0e073ef9252ebdd8317c0b53c3e8a1707ea404,retained-evidence://3642a952e5167739f52edb14060bd8cc85db334bb8d74b6efaee353d0456a0cb
fal-1.3.0-roadmap::noop_negative::rep1,fal-1.3.0-roadmap,fal,no_op,1,1,1,0,NA,fail,fail,0,0,5.553349,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,a28537ec83a427f9e9d96a3cbc54cffd9734667163b7abff09932cbe53b91fc3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,NA,retained-evidence://17017be9225194c1c76a65bd599a1a8d5bc05a99b8ca53d4bcc0980541efb107
fal-1.3.0-roadmap::gold_positive::rep2,fal-1.3.0-roadmap,fal,gold_reference,2,1,1,0,NA,pass,pass,0,0,5.497571,sha256:0271789e2ec74dbb2f91a350a85de9d131ba740aff36f3abb0d4246b832092fb,dfe3b27c62552d18cc65df0e362461d0789d82276273604d53bda6f514ff63b3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6af0d8b62298abc0ba754a9f2c0e073ef9252ebdd8317c0b53c3e8a1707ea404,retained-evidence://4b5b5be8f13572e58ea3224f23e55d5d529fff9f0f98801fe4c314c8f1fa137a
