stratum,task_id,task_family,number_of_cells,number_of_rows,number_of_action_rows,number_of_pass_rows,has_any_action,has_any_pass,number_of_action_positive_cells,number_of_pass_positive_cells
deepseek_clean,dsl-2.1.0-roadmap,dsl,4,32,9,0,1,0,3,0
deepseek_clean,dsl-2.2.0-roadmap,dsl,4,32,0,0,0,0,0,0
deepseek_clean,dsl-2.3.0-roadmap,dsl,4,32,12,0,1,0,3,0
deepseek_clean,fal-1.3.0-roadmap,fal,4,32,14,0,1,0,3,0
deepseek_clean,fal-2.0.0-roadmap,fal,4,32,2,0,1,0,1,0
deepseek_clean,fal-4.1.0-roadmap,fal,4,32,6,0,1,0,1,0
deepseek_clean,fbr-2.42.0-roadmap,fbr,4,32,0,0,0,0,0,0
deepseek_clean,fbr-2.43.0-roadmap,fbr,4,32,1,0,1,0,1,0
deepseek_clean,fbr-3.0.0-roadmap,fbr,4,32,0,0,0,0,0,0
deepseek_clean,fyn-2.1.0-roadmap,fyn,4,32,8,0,1,0,4,0
deepseek_clean,fyn-2.7.0-roadmap,fyn,4,32,21,0,1,0,3,0
deepseek_clean,glz-3.0.0-roadmap,glz,4,32,8,0,1,0,2,0
deepseek_clean,glz-4.0.0-roadmap,glz,4,32,3,0,1,0,2,0
deepseek_clean,ktx-0.10.0-roadmap,ktx,4,32,0,0,0,0,0,0
deepseek_clean,mko-3.0.0-roadmap,mko,4,32,28,0,1,0,4,0
deepseek_clean,mko-4.0.0-roadmap,mko,4,32,2,0,1,0,1,0
deepseek_clean,mko-4.1.0-roadmap,mko,4,32,10,0,1,0,2,0
deepseek_clean,opt-2.0.0-roadmap,opt,4,32,0,0,0,0,0,0
deepseek_clean,opt-3.0.0-roadmap,opt,4,32,7,0,1,0,2,0
deepseek_clean,plr-1.0.0-roadmap,plr,4,32,0,0,0,0,0,0
deepseek_clean,prm-5.0.0-roadmap,prm,4,32,14,0,1,0,4,0
deepseek_clean,pyg-1.6.3-roadmap,pyg,4,32,1,0,1,0,1,0
deepseek_clean,rat-0.24.0-roadmap,rat,4,32,3,0,1,0,2,0
deepseek_clean,spc-3.5.0-roadmap,spc,4,32,0,0,0,0,0,0
deepseek_clean,tpl-3.0.0-roadmap,tpl,4,32,0,0,0,0,0,0
deepseek_clean,tpl-3.2.0-roadmap,tpl,4,32,24,13,1,1,4,4
deepseek_clean,tpl-3.3.0-roadmap,tpl,4,32,5,1,1,1,2,1
deepseek_clean,tpl-4.0.0-roadmap,tpl,4,32,12,0,1,0,2,0
deepseek_clean,tpl-5.0.0-roadmap,tpl,4,32,9,0,1,0,2,0
