stratum,metric,method,k,cell_count,discovery_rate
deepseek_clean,action_harmonized,ORDERED_PREFIX,1,120,0.24166666666666667
deepseek_clean,action_harmonized,ORDERED_PREFIX,2,120,0.3
deepseek_clean,action_harmonized,ORDERED_PREFIX,3,120,0.3416666666666667
deepseek_clean,action_harmonized,ORDERED_PREFIX,4,120,0.38333333333333336
deepseek_clean,action_harmonized,ORDERED_PREFIX,5,120,0.4
deepseek_clean,action_harmonized,ORDERED_PREFIX,6,120,0.4
deepseek_clean,action_harmonized,ORDERED_PREFIX,7,120,0.4083333333333333
deepseek_clean,action_harmonized,ORDERED_PREFIX,8,120,0.4083333333333333
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,120,0.20729166666666668
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,120,0.28095238095238095
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,120,0.32336309523809526
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,120,0.3519047619047619
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,120,0.3727678571428571
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,120,0.3883928571428571
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,120,0.4
deepseek_clean,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,120,0.4083333333333333
deepseek_clean,verifier_pass,ORDERED_PREFIX,1,120,0.03333333333333333
deepseek_clean,verifier_pass,ORDERED_PREFIX,2,120,0.03333333333333333
deepseek_clean,verifier_pass,ORDERED_PREFIX,3,120,0.03333333333333333
deepseek_clean,verifier_pass,ORDERED_PREFIX,4,120,0.03333333333333333
deepseek_clean,verifier_pass,ORDERED_PREFIX,5,120,0.041666666666666664
deepseek_clean,verifier_pass,ORDERED_PREFIX,6,120,0.041666666666666664
deepseek_clean,verifier_pass,ORDERED_PREFIX,7,120,0.041666666666666664
deepseek_clean,verifier_pass,ORDERED_PREFIX,8,120,0.041666666666666664
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,120,0.014583333333333334
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,120,0.024107142857142858
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,120,0.030357142857142857
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,120,0.034523809523809526
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,120,0.037351190476190475
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,120,0.039285714285714285
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,120,0.040625
deepseek_clean,verifier_pass,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,120,0.041666666666666664
deepseek_extension,action_harmonized,ORDERED_PREFIX,1,120,0.15833333333333333
deepseek_extension,action_harmonized,ORDERED_PREFIX,2,120,0.2916666666666667
deepseek_extension,action_harmonized,ORDERED_PREFIX,3,120,0.35
deepseek_extension,action_harmonized,ORDERED_PREFIX,4,120,0.375
deepseek_extension,action_harmonized,ORDERED_PREFIX,5,120,0.39166666666666666
deepseek_extension,action_harmonized,ORDERED_PREFIX,6,120,0.425
deepseek_extension,action_harmonized,ORDERED_PREFIX,7,120,0.44166666666666665
deepseek_extension,action_harmonized,ORDERED_PREFIX,8,120,0.4666666666666667
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,1,120,0.2125
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,2,120,0.2901785714285714
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,3,120,0.3383928571428571
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,4,120,0.3744047619047619
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,5,120,0.403125
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,6,120,0.4270833333333333
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,7,120,0.4479166666666667
deepseek_extension,action_harmonized,SUBSET_AVERAGED_WITHOUT_REPLACEMENT,8,120,0.4666666666666667
deepseek_extension,verifier_pass,ORDERED_PREFIX,1,120,0.008333333333333333
deepseek_extension,verifier_pass,ORDERED_PREFIX,2,120,0.016666666666666666
deepseek_extension,verifier_pass,ORDERED_PREFIX,3,120,0.016666666666666666
deepseek_extension,verifier_pass,ORDERED_PREFIX,4,120,0.016666666666666666
