run_id,stratum,task_id,task_family,language,model_route,protocol_arm,cell_id,repetition_index,action_raw,deterministic_edit_apply_success,patch_apply_check_ok,action_harmonized,verifier_pass,failure_step,failure_reason,failure_class,timestamp_utc,canonical_row_id
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep0,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,0,0,0,0,0,0,finish_reason_length,edit_json_invalid,finish_reason_length,2026-07-07T10:21:34.679620Z,e992da87a05ca9e9d2343aae
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep1,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,1,1,1,1,1,0,test_failed,,,2026-07-07T13:08:24.921834Z,c7dfc6d95aa499c610e11237
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep2,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,2,1,1,1,1,0,test_failed,,,2026-07-07T13:08:46.495502Z,706410fe0abc3093bbc401f1
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep3,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,3,1,1,1,1,0,test_failed,,,2026-07-07T13:09:08.042072Z,1260188113563f2c0e71f2fd
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep4,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,4,1,1,1,1,0,test_failed,,,2026-07-07T13:09:30.446874Z,327e46dfbdcea1a6be7b001d
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep5,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,5,0,0,0,0,0,finish_reason_length,edit_json_invalid,finish_reason_length,2026-07-07T10:21:46.061121Z,a0fe5efca56e5f6b0294b31a
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep6,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,6,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:19:29.455569Z,cc3e90f3daafc00bf2730b77
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3::rep7,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,single_shot_v3,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::single_shot_v3,7,0,0,0,0,0,edit_apply_failed,edit_apply_failed,edit_apply_failed,2026-07-07T10:19:42.216763Z,de0730afe3299e4377b98459
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep0,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,0,1,1,1,1,0,test_failed,,,2026-07-07T13:10:25.710087Z,f10922d9eb49f0c01e3101d1
deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4::rep1,deepseek_clean,dsl-2.1.0-roadmap,dsl,Rust,deepseek-v4-flash,staged_v4,deepseek_clean::deepseek-v4-flash::dsl-2.1.0-roadmap::staged_v4,1,1,1,1,1,0,test_failed,,,2026-07-07T13:10:59.346426Z,b3c6603e269caeddad77016c
